Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.05929,0.02854,0.04053,0.06191,0.09671,0.14464
133,0.09056,0.02392,0.03414,0.05234,0.08239,0.12378
136,0.07254,0.02158,0.03109,0.04805,0.07601,0.11489
139,0.0546,0.02053,0.02958,0.0457,0.07212,0.1092
142,0.02726,0.01922,0.02783,0.04316,0.06863,0.10386
145,0.02828,0.01836,0.02671,0.0416,0.06598,0.10002
148,0.02591,0.01767,0.02571,0.04004,0.06398,0.09693
151,0.02334,0.01688,0.02467,0.03857,0.06164,0.09382
154,0.02327,0.01673,0.02417,0.03789,0.06055,0.09173
157,0.02604,0.01642,0.02389,0.03721,0.05945,0.09007
160,0.03247,0.01558,0.0229,0.03594,0.05742,0.08781
164,0.05096,0.01537,0.02259,0.03545,0.05664,0.08662
168,0.03595,0.01559,0.0228,0.03564,0.05696,0.08669
172,0.05774,0.01555,0.02274,0.03555,0.0568,0.08685
176,0.05941,0.01589,0.02324,0.03633,0.05805,0.08876
180,0.03303,0.01748,0.02514,0.03926,0.0621,0.09387
184,0.03132,0.01982,0.02828,0.04336,0.06807,0.10245
188,0.03097,0.0217,0.03082,0.04707,0.07334,0.10987
192,0.02665,0.02351,0.03345,0.05059,0.07821,0.11631
196,0.04307,0.02463,0.03488,0.05254,0.08123,0.12019
200,0.05488,0.02557,0.03605,0.0541,0.083,0.1228
204,0.04013,0.02616,0.0367,0.05488,0.08398,0.12382
209,0.03617,0.02548,0.03592,0.05391,0.08291,0.12247
214,0.02792,0.02502,0.03527,0.05293,0.08141,0.12087
219,0.02726,0.02408,0.0341,0.05137,0.07942,0.11781
224,0.03533,0.02371,0.03337,0.05059,0.07801,0.11562
229,0.04507,0.02325,0.03293,0.04961,0.0767,0.11378
234,0.08057,0.02206,0.03153,0.04785,0.07436,0.11077
239,0.09767,0.02143,0.03043,0.04648,0.07224,0.10788
244,0.08387,0.02053,0.0293,0.04492,0.07017,0.10494
250,0.05265,0.02044,0.02903,0.04434,0.0689,0.1034
256,0.04018,0.0199,0.02826,0.04316,0.06725,0.10075
262,0.04442,0.01937,0.02764,0.04238,0.06603,0.09893
268,0.04242,0.01918,0.02724,0.0416,0.06482,0.09711
274,0.05526,0.01864,0.02664,0.04043,0.06331,0.09452
280,0.08279,0.01846,0.02621,0.04004,0.06238,0.09346
286,0.05106,0.0181,0.0257,0.03926,0.06132,0.09171
293,0.04378,0.01699,0.02452,0.0375,0.05888,0.08861
300,0.0334,0.01683,0.02401,0.03682,0.05766,0.0865
307,0.0326,0.01615,0.02316,0.03564,0.0561,0.08429
314,0.03199,0.01566,0.02246,0.03457,0.05441,0.08175
321,0.03788,0.01509,0.02174,0.03359,0.05301,0.07989
329,0.03039,0.01456,0.02098,0.03242,0.05142,0.07758
337,0.02802,0.01405,0.02033,0.03154,0.05003,0.07548
345,0.03123,0.01412,0.02024,0.03115,0.04916,0.07444
353,0.02486,0.01331,0.01926,0.02988,0.04727,0.07146
361,0.04533,0.01248,0.01824,0.02852,0.04557,0.06903
370,0.04474,0.01186,0.01742,0.02734,0.04369,0.06681
